iter	Passed	Remaining
0	46	46331
1	46	23265
2	46	15588
3	47	11755
4	47	9442
5	47	7900
6	47	6799
7	48	5970
8	48	5327
9	48	4811
10	48	4388
11	49	4036
12	49	3738
13	49	3483
14	49	3261
15	49	3067
16	50	2896
17	50	2744
18	50	2608
19	50	2485
20	50	2374
21	51	2274
22	51	2182
23	51	2099
24	51	2022
25	52	1951
26	52	1884
27	52	1822
28	52	1765
29	52	1711
30	53	1661
31	53	1614
32	53	1569
33	53	1532
34	54	1492
35	54	1456
36	54	1424
37	54	1391
38	55	1359
39	55	1329
40	55	1300
41	55	1273
42	56	1247
43	56	1222
44	56	1199
45	56	1176
46	56	1154
47	57	1134
48	57	1113
49	57	1094
50	57	1076
51	58	1058
52	58	1041
53	58	1024
54	58	1008
55	58	993
56	59	978
57	59	964
58	59	950
59	59	937
60	60	924
61	60	911
62	60	899
63	60	888
64	60	876
65	61	865
66	61	854
67	61	844
68	61	834
69	62	824
70	62	814
71	62	805
72	62	796
73	62	787
74	63	778
75	63	770
76	63	761
77	63	753
78	63	745
79	64	737
80	64	730
81	64	722
82	64	714
83	64	707
84	65	700
85	65	694
86	65	687
87	65	681
88	65	674
89	66	668
90	66	662
91	66	656
92	66	651
93	66	645
94	67	640
95	67	634
96	67	629
97	67	624
98	68	619
99	68	614
100	68	609
101	68	604
102	68	599
103	69	595
104	69	590
105	69	586
106	69	581
107	69	577
108	70	573
109	70	569
110	70	565
111	70	561
112	71	557
113	71	553
114	71	549
115	71	546
116	71	542
117	72	538
118	72	534
119	72	531
120	72	528
121	72	524
122	73	522
123	73	518
124	73	516
125	73	513
126	74	509
127	74	506
128	74	503
129	74	500
130	75	497
131	75	494
132	75	491
133	75	488
134	75	486
135	76	483
136	76	480
137	76	477
138	76	475
139	76	472
140	77	470
141	77	467
142	77	464
143	78	463
144	78	461
145	78	459
146	78	456
147	78	454
148	79	451
149	79	449
150	79	447
151	79	445
152	79	442
153	80	440
154	80	438
155	80	436
156	80	433
157	81	431
158	81	429
159	81	427
160	81	425
161	81	423
162	81	421
163	82	419
164	82	417
165	82	415
166	82	413
167	83	411
168	83	409
169	83	407
170	83	405
171	83	403
172	84	401
173	84	400
174	84	398
175	84	397
176	85	395
177	85	393
178	85	392
179	85	390
180	85	388
181	86	386
182	86	385
183	86	383
184	86	382
185	86	380
186	87	378
187	87	377
188	87	376
189	87	374
190	88	373
191	88	371
192	88	370
193	88	368
194	88	367
195	89	365
196	89	364
197	89	363
198	89	361
199	90	360
200	90	358
201	90	357
